district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking
Nagpur,P50500023065,Janki Sahaniwas,Narendra Dharnidharji Gandhi,440036,"('21.600000000000000','79.100000000000000')",New Project,09/30/2024,,,Residential,3091.53,0.0,9906.0,04/19/2023,,,259.0,257.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0
Nagpur,P50500024207,MOHD YUSUF HASAN ALI,MOHD YUSUF HASAN ALI,440019,,New Project,12/30/2030,,,Plots,7000.0,700.0,3618.87,11/12/2019,,,,,6.0,1055.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024121,KRISHNA NAGARI,CHANDRASHEKHAR KRISHNAJI REWATKAR,441306,,New Project,12/30/2022,,,Plots,5019.37,1102.56,0.0,11/04/2019,,,,,5.0,1335.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023741,CREATIVE HOMES GREENVIEW,PANKAJ BUILDERS,440013,,New Project,12/30/2024,,,Residential,1440.05,0.0,2321.0,12/27/2019,,,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0
Nagpur,P50500023173,Gaurav Signature,KRISHNAKANT  GIRI,440002,,New Project,03/30/2022,,,Residential,924.1,0.0,1960.0,03/14/2024,,,28.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0
Nagpur,P50500024915,Pavitra Nagri I,PAVITRA INFRASTRUCTURE,441122,,New Project,06/19/2025,,,Plots,4931.0,810.0,4931.0,02/26/2020,,,,,8.0,651.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023320,PRERNA ORBIT,VARDAN BUILDCON,440023,,New Project,03/30/2024,,,Residential,557.35,0.0,721.85,03/28/2023,,,16.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0
Nagpur,P50500023199,GOPALA APARTMENTS,Shri Parasnath Properties,440030,,New Project,03/30/2023,,,Residential,727.88,0.0,946.25,05/02/2022,,,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,10.0,8.0
Nagpur,P50500025206,SHIVAM EMPIRE 1,SHIVAM EMPIRE1,441108,,New Project,12/30/2022,,,Plots,5629.14,1844.92,0.0,05/22/2023,,,,,3.0,878.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023584,KARAN VILLA,SHIRISH JANGLE & OTHER,440027,,New Project,05/30/2023,,05/29/2024,Residential,465.0,0.0,603.0,01/24/2024,,,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,4.0
Nagpur,P50500024665,MADHAV-1 COMPLEX,VIJAY MADHAVRAO CHIKTE,440034,"('21.130866469183058','79.142248227291930')",New Project,11/28/2022,,11/28/2024,Residential,385.0,68.0,499.0,11/21/2022,,,13.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,12.0,1.0,12.0
Nagpur,P50500023978,SHARMA LAY OUT - 3,SHARMA CONSTRUCTION COMPANY,441108,"('20.930678946648854','79.051551953125000')",New Project,11/01/2026,,,Plots,5890.0,592.97,5273.05,02/01/2023,,,,,2.0,1434.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024303,SHARVARI NAGARI,SHARVARI NAGARI,441202,,New Project,03/30/2025,,,Plots,7100.0,576.2,5173.53,01/28/2020,,,,,24.0,3335.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023597,SHREE ANAND SAGAR,CHANDRASHEKHAR BABURAO KALE,441123,,New Project,10/30/2020,,,Plots,4667.0,1983.0,4667.0,11/16/2019,,,,,1.0,2395.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023454,Silver Paradise,Raghukul Constructions Pvt. Ltdd,440015,"('21.145800400000000','79.088154600000000')",On-Going Project,12/30/2026,12/30/2026,,Residential,1872.2,0.0,7778.95,07/20/2023,,,96.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,14.0,32.0
Nagpur,P50500024214,MAULI NAGAR 2,MAULI ASSOCIATES,441108,,New Project,12/30/2021,,,Plots,6366.0,954.0,0.0,08/05/2021,,,,,148.0,1274.6100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023530,Gokul Ressidency 3,SHARAD  CHADDA,441108,,New Project,11/15/2030,,,Plots,6449.33,1212.13,10839.11,12/16/2019,,,,,12.0,1019.5500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024015,MAI CITY PHASE 2,MOTILAL JIYALAL CHAUDHARI,441501,,New Project,10/30/2025,,,Plots,8163.96,1558.85,0.0,01/08/2020,,,,,16.0,2091.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023643,SHIVKASHIPURAM,VASANTA SHIVRAMJI DANGARE,441203,,New Project,12/30/2021,,,Plots,26100.0,2614.5,0.0,12/24/2021,,,,,6.0,1202.83,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024003,MADHAO NAGARI,KHUSAL MADHAORAO JABALPURE,440037,,New Project,12/30/2022,,03/31/2026,Plots,6083.41,1030.47,0.0,01/12/2023,,,,,8.0,1423.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500026404,SWAMI NAGARI 1,SHIVAL SAI DEVELOPERS,441110,,New Project,06/30/2025,,,Plots,8200.0,815.24,0.0,09/05/2020,,,,,4.0,2128.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024513,Twin Lake Residences Phase-1,Radianz Twin Lake Estates Phase-1 LLP,441110,"('21.001245000000000','78.911843000000000')",New Project,12/30/2024,,,Mixed (Plots & Buildings),40300.0,4226.69,0.0,01/23/2024,,,,,11.0,2670.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500025248,NAVKAR APARTMENT,RISHABH MANISH OSWAL,441002,,New Project,11/28/2023,,,Others,627.2,0.0,935.46,05/05/2021,,,20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0
Nagpur,P50500023814,Yadav Rahate City,Millenium Developers,441203,,New Project,03/30/2024,,,Plots,20387.21,2877.44,0.0,01/30/2024,,,,,13.0,2260.61,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023990,SAI NAGARI,Rajesh Navranglal Agarwal,441122,"('21.002811861332514','79.023592606353760')",New Project,12/30/2023,,,Plots,20100.0,1853.0,0.0,04/14/2022,,,,,13.0,1011.85,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023811,EMPIRE ESTATE PHASE II,empire ventures,440027,"('21.718700000000000','79.655800000000000')",New Project,12/30/2023,,,Residential,947.68,0.0,1231.99,12/20/2021,,,24.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,3.0,0.0,3.0
Nagpur,P50500024213,MAHALAXMI RESIDENCY,PRABHAV VIJAY KHAWASE,440024,,New Project,05/30/2022,,,Residential,371.6,0.0,368.0,05/23/2023,,,9.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0
Nagpur,P50500023447,PLATINUM,MAXLAND BUILDERS AND DEVELOPERS,441108,"('21.718700000000000','79.655800000000000')",New Project,11/28/2025,,,Plots,9253.73,1591.65,0.0,11/29/2019,,,,,3.0,1674.8600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023293,"VIRAJ JAGDAMBA BUILDING No. 3, 4, 5",NEW VIRAJ HOUSING AGENCY,441203,,New Project,03/30/2022,,,Residential,1368.23,0.0,1960.0,05/23/2023,,,29.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,3.0,0.0,3.0
Nagpur,P50500023479,DURVANG RESIDENCY-3,PANKAJ  KOLHE,440027,,New Project,03/30/2025,,,Residential,447.66,0.0,571.55,03/18/2023,,,14.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,35.0
Nagpur,P50500025919,HBA PARK,HBA CONSTRUCTION COMPANY PVT.LTD,441002,,New Project,06/30/2030,,,Residential,6250.0,627.11,14045.37,01/11/2024,,,250.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,37.0,4.0,36.0,45.0
Nagpur,P50500024736,SHOBHA GIROLA,RAJESH GYANDEO TIDKE,441110,,New Project,03/30/2026,,,Plots,12100.0,1211.0,0.0,12/10/2019,,,,,40.0,12100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023539,SAIRAM-II,PANKAJ CONSTRUCTIONS,440017,,New Project,12/30/2024,,,Residential,1900.0,0.0,2424.0,09/30/2021,,,55.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,20.0,0.0
Nagpur,P50500024282,Shree Ganesh Northstar,SHREE GANESH BUILDERS LIMITED,440026,"('21.718700000000000','79.655800000000000')",New Project,01/15/2025,,,Residential,3046.6,0.0,5903.0,01/31/2024,,,111.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,11.0,40.0
Nagpur,P50500024395,GLOBAL CITY - II,SUKHADAS MUNSHI PARDHI,441110,"('21.718700000000000','79.655800000000000')",New Project,12/30/2024,,,Plots,24665.01,2470.65,13657.96,01/20/2020,,,,,19.0,1379.1100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023897,SAI COMPLEX,SHRI SAI DEVELOPERS,441105,,New Project,11/28/2026,,,Others,1531.5,0.0,4322.18,01/07/2020,,,74.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0
Nagpur,P50500023858,GAURI NAGAR,Pramod Ramnathsingh Rathod,441304,,New Project,03/30/2022,,,Plots,2621.89,450.62,0.0,08/13/2021,,,,,1.0,719.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500025969,SANDIPANI TOWN,SUKHADAS MUNSHI PARDHI,441110,,New Project,06/30/2026,,,Plots,32969.17,3311.02,16527.88,07/14/2020,,,,,25.0,1374.1100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023606,EMPIRE CITY,SANJAY RAMASHANKAR TIWARI,441122,,New Project,12/30/2025,,,Plots,23011.0,2256.0,0.0,12/23/2021,,,,,17.0,1459.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023892,GLADSTONE,Sonali Pankaj Waghmare,440034,,New Project,03/30/2022,,,Plots,6600.88,954.92,0.0,05/04/2023,,,,,7.0,937.03,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024088,SHRIRAM-SUDHA NAGAR,SANDEEP SHRIRAMJI ZADE,441203,,New Project,01/31/2020,,,Plots,12000.0,1220.32,0.0,01/28/2020,,,,,5.0,713.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023665,VEDANT GARNET,NANIS BUILDCON PRIVATE LIMITED,440023,,New Project,12/30/2023,,,Residential,1500.0,0.0,1949.02,04/23/2022,,,36.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,19.0
Nagpur,P50500023634,JAMNA PALACE,PRABHU MULTIVENTURES,440014,,New Project,06/30/2023,,06/29/2024,Residential,877.36,0.0,1558.4,01/26/2024,,,20.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,0.0,11.0
Nagpur,P50500023912,PLATINUM CROWN,MAXLAND BUILDERS AND DEVELOPERS,441122,"('20.998860750869560','79.023567406082180')",New Project,12/30/2025,,,Plots,6364.81,1129.67,0.0,08/11/2023,,,,,4.0,2501.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024514,MD TOWN,SHAILENDRA MANOHAR PULLIWAR,440034,,New Project,08/28/2022,,08/31/2023,Plots,8070.0,808.28,0.0,12/26/2023,,,,,13.0,568.73,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023888,AMARDEEP NAGAR,Rajshree Amardeep Kamble,440023,,New Project,12/30/2026,,,Plots,48913.0,11117.0,48913.0,12/26/2019,,,,,39.0,9616.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024123,Green Town,M/s Green Town Developers,441002,"('21.211622282489557','79.166553436931510')",New Project,01/15/2025,,,Plots,17945.43,3590.08,0.0,01/16/2020,,,,,12.0,1391.04,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023801,SHANKARRAO JIBHKATE NAGAR PHASE 1,VED INFRAA,441002,,New Project,11/28/2025,,,Residential,6950.0,0.0,8130.0,06/13/2023,,,107.0,15.0,0.0,0.0,0.0,0.0,5.0,0.0,22.0,5.0,0.0,5.0
Nagpur,P50500025060,SONAL ENCLAVE,M/s Vanshika Developers & Promoters,440023,,New Project,12/30/2022,,,Residential,477.0,0.0,620.0,11/03/2022,,,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,6.0,1.0
Nagpur,P50500025659,STRAWBERRY FARM,MEGHA AMOL WALKE,440015,,New Project,06/30/2026,,,Plots,49227.18,8895.31,0.0,06/15/2020,,1.0,,,71.0,3543.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024046,SHREE RESIDENCY,SACHIN ASHOK KHARE,440025,,New Project,03/30/2022,,,Residential,1943.28,0.0,2962.38,01/13/2020,,,64.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0
Nagpur,P50500023881,Soumitra Layout,Soumitra Promoter and Developer,440023,"('21.128307000000000','78.950223000000000')",New Project,12/30/2025,,,Plots,24200.0,2425.65,0.0,03/06/2024,,,,,20.0,1481.19,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024038,ADDITYA RESIDENCY,SACHIN SURYABHAN MOON,441108,,New Project,12/30/2023,,,Plots,8542.87,1608.0,0.0,01/06/2020,,,,,61.0,8542.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024351,KHAMLA HEIGHTS,M/S GOVIND URBAN CREDIT CO-OP SOCIETY LTD,440024,,New Project,12/30/2023,,,Others,1132.5,0.0,4769.03,02/29/2024,,,42.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0
Nagpur,P50500024689,USHKAAL HEIGHTS,SWAPNA SHILP DEVELOPERS AND BUILDERS,440022,,New Project,03/30/2024,,,Residential,780.36,0.0,1587.06,07/05/2021,,1.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,10.0,0.0
Nagpur,P50500023903,KRISHNUM NAGARI 3,Alliance Hariom Infrastructure,441108,,New Project,10/30/2025,,,Plots,4940.05,810.69,8100.0,01/31/2024,,,,,4.0,954.09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500025660,SANJAY B. THAKRE,SANJAY BHAURAOJI THAKRE,441204,,New Project,03/31/2021,,,Plots,8334.77,0.0,0.0,06/26/2020,,,,,10.0,1936.63,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500023890,VIJAYA MAULI NAGAR - 3,VIJAYA HATWAR AND 1 OTHERS,441108,,New Project,12/30/2022,,,Plots,10808.0,1675.0,0.0,10/27/2020,,,,,21.0,2754.3900000000003,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024413,Reyansh Residency,METRO REALITIES & INFRAVENTURES PVT LTD,441203,,New Project,12/30/2025,,,Plots,31184.18,6001.25,48584.21,02/07/2020,,,,,292.0,31184.18,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024714,ASHISH ENCLAVE,M/S. MANDAL ASSOCIATES,440023,,New Project,12/30/2025,,,Residential,459.48,0.0,0.0,02/06/2020,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,8.0,0.0
Nagpur,P50500023964,NANIKS ASHTAVINAYAK PARK AVENUE,NANIK ASSOCIATES,440013,,New Project,06/30/2023,,,Commercial,887.57,0.0,1884.88,05/06/2023,,,49.0,49.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0,1.0,23.0,1.0
Nagpur,P50500024406,SARASWATI NAGARI,S S ASSOCIATES,440030,,New Project,07/30/2021,,01/30/2023,Plots,7700.0,766.0,0.0,03/21/2023,,,,,6.0,1154.86,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024468,MAHENDRA LAXMANRAO BISNE,MAHENDRA LAXMANRAO BISNE,440023,,New Project,03/30/2023,,,Plots,12100.0,1575.8,8869.73,02/13/2020,,,,,62.0,8869.73,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024105,SATYAM ORCHID,OMSATYAM BUILDCONS PRIVATE LIMITED,441123,"('21.718700000000000','79.655800000000000')",New Project,01/01/2024,,,Residential,2272.07,0.0,3964.53,04/21/2022,,,63.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,1.0
Nagpur,P50500024471,NIYOJEET SAHYOG GRUH NIRMAN SAHKARI SOCIETY,NIYOJEET SAHYOG GRUH NIRMAN SAHAKARI SOCIETY,440016,,New Project,12/30/2025,,,Residential,860.0,0.0,985.86,02/05/2020,,,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
Nagpur,P50500024204,Shubhash Nagar,Shubhash Harishchandra Palsapure & Others,441302,,New Project,12/30/2023,,12/29/2024,Plots,22640.99,4430.5,0.0,02/22/2024,,,,,36.0,2203.05,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500027375,GOLDEN POINT,BHARARI BUILDCON,441204,,New Project,09/30/2023,,,Plots,43857.0,5235.0,39457.0,02/27/2024,,,,,36.0,2420.7400000000002,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024767,AASHRIT,VITTHAL RAMCHANDRAO BAJIRAO,440022,"('21.113702777909040','79.054651427813800')",New Project,12/30/2021,,,Others,561.96,0.0,726.83,02/06/2020,,,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,4.0,7.0
Nagpur,P50500024258,NATRAJ TOWER,MEGHA RAJESH TOMAR,440032,"('21.718700000000000','79.655800000000000')",New Project,03/30/2024,,,Commercial,872.0,0.0,1992.0,01/22/2020,,,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,9.0,0.0,0.0,45.0
Nagpur,P50500024669,OZEN REJOICE,DAMODAR NATTHUJI DHAGE,441122,,New Project,01/15/2026,,,Plots,6124.58,7119.71,10154.55,02/20/2020,,,,,15.0,1344.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500029047,CHANDRABHAN HINGE NAGARI,HINGE,441204,,New Project,03/31/2024,,,Plots,17700.0,1771.0,15927.0,08/14/2021,,,,,7.0,1172.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024193,Shiv Brighton Phase IV,Om Shivam Buildcon Private Limited,441108,,New Project,01/30/2024,,01/29/2025,Residential,8198.0,819.0,11451.39,01/25/2024,,,156.0,155.0,0.0,0.0,0.0,0.0,4.0,0.0,43.0,0.0,0.0,0.0
Nagpur,P50500024271,Shiv Brighton Phase III,Om Shivam Buildcon Private Limited,441108,,New Project,01/30/2024,,,Residential,6717.0,672.0,9306.0,01/25/2024,,,128.0,126.0,0.0,0.0,0.0,0.0,4.0,0.0,36.0,4.0,200.0,18.0
Nagpur,P50500024366,RAJ NAGARI 2,MALAN PREMRAJ BADOLE,441108,,New Project,12/30/2025,,,Plots,14100.0,1413.0,12332.0,01/27/2020,,,,,4.0,2455.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024391,Jayanti Nagari VII - Wing-A-B,Abhijit Realtors & Infraventures Pvt Ltd,440034,"('21.718700000000000','79.655800000000000')",New Project,05/30/2026,,,Residential,5955.91,0.0,12454.95,12/02/2022,,,172.0,39.0,0.0,0.0,0.0,6.0,2.0,0.0,46.0,2.0,50.0,20.0
Nagpur,P50500024313,K K Chandak Nagar,Prakash Kasturchand Chandak,441302,,New Project,03/30/2022,,,Plots,12222.08,2208.64,0.0,01/28/2020,,,,,15.0,1437.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024730,Nile Nagari,BRIJMOHAN KISHAN TIWARI,440013,,New Project,03/30/2026,,,Plots,9405.12,6594.88,14389.41,12/22/2023,,,,,6.0,1476.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024354,PAVITRA NAGARI 2,PAVITRA INFRASTRUCTURE,440034,,New Project,06/19/2025,,,Plots,5067.27,826.94,5067.27,01/30/2020,,,,,14.0,745.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024372,bhakti park,SANJAY PURANMAL AGRAWAL,440034,,New Project,09/30/2024,,,Plots,27300.0,2554.15,0.0,10/22/2023,,,,,17.0,2161.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500025369,Apna Real Estate - Katol,CHANDRASHEKHAR RAMDAS DHOLE,441103,,New Project,12/30/2023,,,Plots,10000.0,4435.99,5564.01,05/02/2020,,,,,38.0,5564.01,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024602,GOVIND ENCLAVE,CONCRETE DEVELOPERS,440023,"('21.718700000000000','79.655800000000000')",New Project,12/30/2024,,,Residential,2925.0,585.0,6422.35,01/18/2024,,,109.0,70.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,145.0,261.0
Nagpur,P50500024654,GAJANAN PRIDE,Yogesh Rajendra Pali & Shilpa Yogesh Pali,441501,,New Project,12/30/2022,,,Residential,451.0,0.0,465.44,02/15/2020,,,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0
Nagpur,P50500024909,Dravya Shree Krupa,Dravya Builders and Developers,440022,,New Project,03/30/2023,,,Residential,457.5,0.0,743.0,06/28/2023,,,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0
Nagpur,P50500024745,NEEL VIHAR 2,NEELGAGAN DEEVELOPERS,440034,,New Project,12/30/2031,,,Residential,5171.63,1980.48,5171.63,03/21/2024,,,70.0,45.0,0.0,0.0,0.0,0.0,7.0,0.0,17.0,0.0,7.0,0.0
Nagpur,P50500024479,YASH COLONY,KISHOR SHIVAJIRAO CHOPDE,441204,"('21.718700000000000','79.655800000000000')",New Project,12/30/2023,,,Plots,5916.36,827.78,5916.36,08/08/2020,,,,,4.0,1433.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500027808,RADHIKA NAGAR,RAMCHANDRA SHRAWANJI VAIDYA,441304,"('21.484919205413675','78.478610649871840')",New Project,03/31/2021,,,Plots,5724.24,872.5,0.0,05/25/2022,,,,,10.0,475.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024762,Royal Park,Samrat Buildcon,440023,,New Project,11/28/2023,,,Residential,1201.8,0.0,1818.49,08/23/2023,,,39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0
Nagpur,P50500024801,METRO PARK,YOGESH MOHANDAS GANGWANI,441203,,New Project,12/30/2023,,,Plots,8354.99,1520.58,12238.65,02/24/2020,,,,,13.0,1659.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024575,Krishna Nagari,Jagriti Suppliers Private Limited,441122,"('21.021841128695730','79.024901524353040')",New Project,12/30/2025,,,Plots,28700.0,2870.0,0.0,05/07/2022,,,,,30.0,1403.38,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024697,SEWA PRIME I,SEWA INFRASTRUCTURE,441111,,New Project,02/09/2024,,,Plots,27400.0,2426.08,21729.24,02/21/2020,,,,,6.0,3905.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024631,Balaji Town,Surendra R Mahakalkar & 3 Others (Partner in Balaji Land Developers),441203,,New Project,09/30/2020,,,Plots,4676.88,1706.6,0.0,05/26/2022,,,,,6.0,2072.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024981,SAMRUDDHI PARK,SAHARA REALITIES,441108,,New Project,08/01/2021,,02/01/2023,Plots,7726.55,776.28,6437.55,03/12/2020,,,,,12.0,673.4200000000001,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500025095,NOSTALGIA VILLAS,SANJAY BHAGWANDAS GANGWANI,441106,,New Project,12/30/2024,,,Plots,7722.86,3025.23,3297.4,10/05/2020,,,,,2.0,801.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500025007,Krishna Nagari,RAJESH STEEL & WIRE INDUSTRIES,441122,"('21.019199711041665','79.023651614952100')",New Project,12/30/2023,,,Plots,7700.0,744.2,0.0,04/14/2022,,,,,6.0,934.63,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024830,GROWMORE ELITE,GROWMORE HOUSING AND CONSTRUCTION CO.,441108,,New Project,03/30/2023,,,Plots,8159.71,999.18,0.0,11/11/2022,,,,,3.0,2472.14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024752,SHREE LAXMI NAGAR,SANJAY NAGORAO PAIDLEWAR,441108,,New Project,01/30/2025,,,Plots,12200.0,1129.02,10035.74,01/18/2024,,,,,26.0,578.3199999999999,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024757,CHAYTANYA NAGARI,RAJESH  MOTGHARE,441501,,New Project,12/30/2023,,,Plots,11158.55,2305.9,0.0,01/17/2024,,,,,18.0,2520.66,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024805,MOHAN NAGAR,LISHA YOGESH GANGWANI,441110,,New Project,04/30/2025,,,Plots,39271.69,7704.81,69188.62,02/24/2020,,,,,334.0,39271.69,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500024929,Gajanan Nagri,Devidas Kisan Tikhat,441302,,New Project,03/30/2023,,,Plots,5255.1,1190.0,0.0,08/10/2021,,,,,3.0,1220.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500025249,I.T.Colony - 2,LISHA YOGESH GANGWANI,441110,,New Project,04/30/2025,,,Plots,4647.25,815.16,8095.51,03/07/2020,,,,,5.0,582.63,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
